Dataset using: ../Dataset/input.pkl
start training model with fold  0
Test Epoch: 29 | Loss: 0.974 | Test Acc: 0.600
Train Epoch:30  |Loss: 0.889 | Train Acc: 0.608
Eval Epoch: 30 | Loss: 0.966 | Eval Acc: 0.575
Test Epoch: 30 | Loss: 0.966 | Test Acc: 0.575
saving last....
Train Epoch:31  |Loss: 0.880 | Train Acc: 0.650
Eval Epoch: 31 | Loss: 0.973 | Eval Acc: 0.525
Test Epoch: 31 | Loss: 0.973 | Test Acc: 0.525
Train Epoch:32  |Loss: 0.872 | Train Acc: 0.633
Eval Epoch: 32 | Loss: 0.972 | Eval Acc: 0.575
Test Epoch: 32 | Loss: 0.972 | Test Acc: 0.575
Train Epoch:33  |Loss: 0.850 | Train Acc: 0.642
Eval Epoch: 33 | Loss: 0.950 | Eval Acc: 0.575
Test Epoch: 33 | Loss: 0.950 | Test Acc: 0.575
Train Epoch:34  |Loss: 0.840 | Train Acc: 0.667
Eval Epoch: 34 | Loss: 0.964 | Eval Acc: 0.550
Test Epoch: 34 | Loss: 0.964 | Test Acc: 0.550
Train Epoch:35  |Loss: 0.835 | Train Acc: 0.650
Eval Epoch: 35 | Loss: 0.938 | Eval Acc: 0.625
Test Epoch: 35 | Loss: 0.938 | Test Acc: 0.625
saving best....
Train Epoch:36  |Loss: 0.852 | Train Acc: 0.633
Eval Epoch: 36 | Loss: 0.939 | Eval Acc: 0.550
Test Epoch: 36 | Loss: 0.939 | Test Acc: 0.550
Train Epoch:37  |Loss: 0.844 | Train Acc: 0.625
Eval Epoch: 37 | Loss: 0.949 | Eval Acc: 0.550
Test Epoch: 37 | Loss: 0.949 | Test Acc: 0.550
Train Epoch:38  |Loss: 0.842 | Train Acc: 0.650
Eval Epoch: 38 | Loss: 0.988 | Eval Acc: 0.600
Test Epoch: 38 | Loss: 0.988 | Test Acc: 0.600
Train Epoch:39  |Loss: 0.793 | Train Acc: 0.675
Eval Epoch: 39 | Loss: 0.934 | Eval Acc: 0.550
Test Epoch: 39 | Loss: 0.934 | Test Acc: 0.550
